X,Y,observ,longitud,latitud,objectid,num_est,nom_est,id_trazado,long_est,ancho_est,area_est,esta_oper,eta_oper,tipo_esta,ub_est,num_acc,acc_esp,acc_depr,acc_puent,cod_nodo,cap_biart,num_vag,cap_art,globalid,created_user,created_date,last_edited_user,last_edited_date
999519.8015,999758.973300001,Valores de capacidad de buses en proceso de actualización,-74.08183542,4.59402077,699,10005,Bicentenario,TZ018,183.26,4,733.04,1,1,2,KR 10 - CL 5,1,0,0,1,10005,168,3,216,{4D9D68B3-7B78-4799-9433-736648B745C8},,,,
1001295.9355,1005173.1457,Valores de capacidad de buses en proceso de actualización,-74.06582826,4.64298162,700,09119,Temporal Calle 57,TZ001,150.39,3.5,526.365,1,1,4,CL 57 - CL 54,2,2,0,0,9119,120,2,200,{F60E7668-EACA-48D8-9E3A-3EF5452A79C6},,,,
994131.9327,997136.501499999,Valores de capacidad de buses en proceso de actualización,-74.13038868,4.57030352,701,08002,Biblioteca,TZ014,45.68,0,0,1,1,4,CL 48A Sur,1,1,0,0,8002,24,1,36,{7CA09A1D-2C80-47B1-9031-D0B4707FC323},,,,
999736.956,1003811.5218,Valores de capacidad de buses en proceso de actualización,-74.07987857,4.63066841,702,07108,AV. ElDorado,TZ008,48.1,4,192.4,1,1,4,KR 30 AV 28,1,0,0,1,7108,120,2,140,{F78EDE74-ECA6-4E43-A0E3-FE0D85B3C8B2},,,,
1000593.5798,1002261.5178,Valores de capacidad de buses en proceso de actualización,-74.07215846,4.61665155,703,09114,Calle 26,TZ001,182.52,3.5,638.82,1,2,4,AV Calle 28 - CL 2,2,2,0,0,9114,0,3,0,{77A99556-E940-48E6-8999-E872864D9A1B},,,,
993701.4483,999786.774499999,Valores de capacidad de buses en proceso de actualización,-74.13426993,4.59426993,704,07005,Alquería,TZ010,89.25,4,357,1,1,4,Autosur - KR 48,1,0,0,1,7005,72,2,132,{7FD49F39-AC89-465D-81E4-DCA01E57B876},,,,
988491.1535,1000076.8629,Valores de capacidad de buses en proceso de actualización,-74.181225,4.59688795,705,07010,Bosa,TZ010,126.08,4,504.32,1,1,4,Soacha,2,0,0,2,7010,120,2,152,{23AA251B-55EA-4A49-8E50-BA2D18F9FDE8},,,,
999259.5341,1003009.5124,Valores de capacidad de buses en proceso de actualización,-74.08418121,4.62341573,706,07109,CAD,TZ008,130.07,4,520.28,1,1,4,KR 30 - CL 26,2,0,0,2,7109,120,2,152,{CC9EB24C-A4EA-4EC8-9D3C-538ED6D1241F},,,,
992425.7477,1003881.1234,Valores de capacidad de buses en proceso de actualización,-74.14576996,4.63129454,707,05100,Banderas,TZ009,536.19,0,0,1,1,2,AV Americas - KR 78,2,0,0,2,5100,288,4,320,{BBE457C1-3F81-4BB3-9437-CA5C31DCA52F},,,,
1000070.8203,1001289.8445,Valores de capacidad de buses en proceso de actualización,-74.07686968,4.60786462,708,09111,Calle 19,TZ001,182.49,3.5,638.715,1,3,4,CL 19 - CL 17,2,2,0,0,9111,120,3,200,{F44B08F5-40A7-4CD9-8857-BD0B59B9A082},,,,
999824.1387,1000757.7963,Valores de capacidad de buses en proceso de actualización,-74.07909278,4.60305325,709,14003,AV. Jiménez - CL 13,TZ015,124.6,0,0,1,1,3,CL 13 - Caracas,1,1,0,0,14003,120,5,152,{CF2B6117-5A42-44E9-9CB5-DA23011674EF},,,,
999905.1838,1005953.6443,Valores de capacidad de buses en proceso de actualización,-74.07836246,4.65003985,710,07105,Movistar Arena,TZ008,122.82,4,491.28,1,1,4,KR 30 - CL 57,1,0,0,1,7105,120,2,152,{D42C2D37-741D-42C7-8D78-87F5641D9424},,,,
1000977.6749,1003394.4983,Valores de capacidad de buses en proceso de actualización,-74.06869679,4.62689718,711,09116,AV. 39,TZ001,184,3.5,644,1,3,4,AV 39 - AV Calle,2,2,0,0,9116,120,3,192,{AECCCF52-FBE2-455D-B3E3-0ED5396986A0},,,,
1001802.623,1007390.0762,Valores de capacidad de buses en proceso de actualización,-74.06126126,4.66302945,712,09123,Calle 76 - San Felipe,TZ001,182.25,3.5,637.875,1,1,4,CL 76 - CL 74,2,2,0,0,9123,120,3,200,{86FD53F3-A40C-4C50-ACF1-D653347DE982},,,,
1001402.1905,1005772.7591,Valores de capacidad de buses en proceso de actualización,-74.06487053,4.64840397,713,09120,Calle 63,TZ001,187.6,3.5,656.6,1,3,4,CL 63 - CL 60,2,2,0,0,9120,0,3,0,{210265F2-74C5-4AC9-96D7-1B81677556C2},,,,
1001982.0787,1008416.6471,Valores de capacidad de buses en proceso de actualización,-74.05964363,4.67231279,714,02303,Calle 85,TZ002,216.42,4,865.68,1,1,4,CL 85,1,0,0,1,2303,120,4,200,{76B77DC3-C5DE-4DD6-9F01-9FC58064FA28},,,,
995520.0645,999845.096799999,Valores de capacidad de buses en proceso de actualización,-74.11788075,4.59479847,715,07008,NQS - Calle 30 S,TZ010,89.62,4,358.48,1,1,4,Autosur - DG 26 Sur,1,1,0,0,7008,72,2,160,{C4900383-3589-4E4A-A3A7-26C6FF2A5598},,,,
